Gryffindor,Hufflepuff,Ravenclaw,Slytherin,Name
0.997784674,0.000844925,0.000836325,0.000534097,realDonaldTrump
0.60425669,0.395108193,0.000317699,0.000317429,_andrewcouch
0.140331075,0.738522828,0.005068894,0.116077192,brhodes
0.964670718,0.003311567,0.00337405,0.028643653,ChipotleTweets
0.998112917,0.000751298,0.000688996,0.000446808,Book_Alicia
0.997526467,0.000535838,0.000471124,0.001466583,Book_Colin
0.998790801,0.000540563,0.000405605,0.000263032,Book_Dean
0.000714439,0.000437006,0.000418405,0.998430073,Book_Draco
0.998565495,0.000615979,0.000405514,0.000413084,Book_Dumbledore
0.108751215,0.498644412,0.384459704,0.008144677,Book_Ernie
0.108751215,0.498644412,0.384459704,0.008144677,Book_Ernie
0.108751215,0.498644412,0.384459704,0.008144677,Book_Ernie
0.998051763,0.000648726,0.000537186,0.000762304,Book_Fred
0.998790801,0.000540563,0.000405605,0.000263032,Book_George
0.998790801,0.000540563,0.000405605,0.000263032,Book_Ginny
0.012916533,0.87546128,0.005675078,0.105947085,Book_Hannah
0.998565495,0.000615979,0.000405514,0.000413084,Book_Harry
0.998565495,0.000615979,0.000405514,0.000413084,Book_Hermione
0.000547415,0.000268897,0.000350733,0.998833001,Book_Justin
0.005910791,0.000843568,0.991783381,0.001462226,Book_Lockhart
0.000547415,0.000268897,0.000350733,0.998833001,Book_Malfoy
0.998565495,0.000615979,0.000405514,0.000413084,Book_Mcgonagall
0.000296203,0.000310218,0.998737991,0.000655616,Book_Myrtle
0.998790801,0.000540563,0.000405605,0.000263032,Book_Neville
0.998790801,0.000540563,0.000405605,0.000263032,Book_Nick
0.998790801,0.000540563,0.000405605,0.000263032,Book_Percy
0.000547415,0.000268897,0.000350733,0.998833001,Book_Riddle
0.998565495,0.000615979,0.000405514,0.000413084,Book_Ron
0.998112917,0.000751298,0.000688996,0.000446808,Book_Seamus
0.000547415,0.000268897,0.000350733,0.998833001,Book_Snape
0.000611465,0.998170018,0.000533755,0.00068474,Book_Sprout
0.216592118,0.765353799,0.009351411,0.008702707,Book_Uncle
0.216592118,0.765353799,0.009351411,0.008702707,Book_Uncle
0.998790801,0.000540563,0.000405605,0.000263032,Book_Bill
0.998790801,0.000540563,0.000405605,0.000263032,Book_Charlie
0.000296203,0.000310218,0.998737991,0.000655616,Book_Cho
0.000939051,0.00037173,0.000371819,0.99831748,Book_Crabbe
0.002303589,0.996438742,0.000769369,0.000488321,Book_Dirk
0.000296203,0.000310218,0.998737991,0.000655616,Book_Flitwick
0.997784674,0.000844925,0.000836325,0.000534097,Book_James
0.000744952,0.998196185,0.000588484,0.000470355,Book_Kingsley
0.000611465,0.998170018,0.000533755,0.00068474,Book_Krum
0.998565495,0.000615979,0.000405514,0.000413084,Book_Lee
0.998790801,0.000540563,0.000405605,0.000263032,Book_Lily
0.006928413,0.000321124,0.000418853,0.992331624,Book_Lucius
0.000296203,0.000310218,0.998737991,0.000655616,Book_Luna
0.998565495,0.000615979,0.000405514,0.000413084,Book_Lupin
0.000296203,0.000310218,0.998737991,0.000655616,Book_Michael
0.998144507,0.000470419,0.000471416,0.000913721,Book_Oliver
0.000957873,0.000329176,0.000418348,0.998294652,Book_Phineas
0.998565495,0.000615979,0.000405514,0.000413084,Book_Potter
0.998051763,0.000648726,0.000537186,0.000762304,Book_Sirius
0.000296203,0.000310218,0.998737991,0.000655616,Book_Ted
0.000296203,0.000310218,0.998737991,0.000655616,Book_Terry
0.000671997,0.998109579,0.000533723,0.000684698,Book_Tonks
0.000611465,0.998170018,0.000533755,0.00068474,Book_Umbridge
0.000957873,0.000329176,0.000418348,0.998294652,Book_Voldemort
0.001829657,0.996776164,0.000675249,0.000718932,Book_Amos
0.998051763,0.000648726,0.000537186,0.000762304,Book_Angelina
0.000744952,0.998196185,0.000588484,0.000470355,Book_Cedric
0.000744952,0.998196185,0.000588484,0.000470355,Book_Grubbly
0.012916533,0.87546128,0.005675078,0.105947085,Book_Hannah
0.99723947,0.00108618,0.000835868,0.000838516,Book_Moody
0.000296203,0.000310218,0.998737991,0.000655616,Book_Padma
0.02734196,0.002664438,0.004983581,0.965009987,Book_Pansy
0.99865973,0.00059916,0.000449573,0.000291544,Book_Parvati
0.000957873,0.000329176,0.000418348,0.998294652,Book_Rita
0.000296203,0.000310218,0.998737991,0.000655616,Book_Trelawney
0.000547415,0.000268897,0.000350733,0.998833001,Book_Wormtail
0.010284266,0.000995482,0.001900303,0.986819923,Book_Horace
0.997784674,0.000844925,0.000836325,0.000534097,Book_Katie
0.998790801,0.000540563,0.000405605,0.000263032,Book_Mclaggen
0.99669373,0.000691659,0.000767218,0.001847407,Book_Prince
0.998790801,0.000540563,0.000405605,0.000263032,Book_Romilda
0.002999472,0.000248159,0.000299753,0.99645257,Book_Slughorn
0.000547415,0.000268897,0.000350733,0.998833001,Book_Junior
0.998790801,0.000540563,0.000405605,0.000263032,Book_Weasley
0.001472916,0.000708604,0.996648729,0.001169774,Book_Quirrell
0.988203585,0.001839691,0.009001398,0.000955342,Movie_Albus
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Draco
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Dumbledore
0.320970654,0.005813641,0.012996649,0.660219073,Movie_Flint
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Flitwick
0.99865973,0.00059916,0.000449573,0.000291544,Movie_Fred
0.998790801,0.000540563,0.000405605,0.000263032,Movie_George
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Hagrid
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Harry
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Hermione
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Hooch
0.997784674,0.000844925,0.000836325,0.000534097,Movie_Lee
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mcgonagall
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Neville
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Nick
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Oiiver
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Oliver
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Ollivander
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Percy
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Quirrell
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Ron
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Seamus
0.132369548,0.002182241,0.004929115,0.860519111,Movie_Snake
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Snape
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Voldemort
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Arthur Weasley
0.992656231,0.001060656,0.00123268,0.005050476,Movie_Colin
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Cornelius Fudge
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Crabbe
0.056121156,0.00189702,0.004352469,0.937629342,Movie_Crabbe & Goyle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Dean Thomas
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Ginny
0.997784674,0.000844925,0.000836325,0.000534097,Movie_Haary
0.000550317,0.998283744,0.000533816,0.000632175,Movie_Justin Finch-Fletchley
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Lee Jordan
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Lucius Malfoy
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Madame Pomfrey
0.009380788,0.002495927,0.003936997,0.984186351,Movie_Marcus Flint
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Moaning Myrtle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mrs. Weasley
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Professor Lockhart
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Professor Mcgonagall
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Professor Sprout
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Sir Nicholas
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Tom Riddle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Arthur
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Amos
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Cedric
0.000822178,0.00032223,0.000350617,0.998504996,Movie_Lucius
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Barty
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Igor
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Mad-Eye
0.000699911,0.000396397,0.000418428,0.998485267,Movie_Severus
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Rita
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Nigel
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Patils
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Parvati
0.005910791,0.000843568,0.991783381,0.001462226,Movie_Padma
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Voldermort
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Myrtle
0.000611465,0.998170018,0.000533755,0.00068474,Movie_Fudge
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Barty Jr
0.080598421,0.005277365,0.007465383,0.906658828,Movie_Alastor
0.995124638,0.001184041,0.003220238,0.000471085,Movie_Ron Weasley
0.99625057,0.000736718,0.000882024,0.002130731,Movie_Hermoine Granger
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Draco Malfoy
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Severus Snape
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Malfoy
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Neville Longbottom
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Seamus Finnigan
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Ginny Weasley
0.000699911,0.000396397,0.000418428,0.998485267,Movie_Snape'S Voice
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mrs. Weasley Via Howler
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Colin Creevey
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Harry Potter
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Minerva Mcgonagall
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Hermione Granger
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Professor Minerva Mcgonagall
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Gilderoy Lockhart
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Percy Weasley
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Ron Weasley [As Vincent Crabbe]
0.963889956,0.000933441,0.001952053,0.033224516,Movie_Harry Potter [As Gregory Goyle]
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Hermoine
0.998409867,0.000682734,0.00044946,0.000457851,"Movie_Harry, Ron, And Hermione"
0.320970654,0.005813641,0.012996649,0.660219073,Movie_'Harry
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Lockhart
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Albus Dumbledore
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Sirius
0.000714497,0.000356517,0.000418438,0.99851054,Movie_Professor Snape
0.998409867,0.000682734,0.00044946,0.000457851,Movie_Professor Lupin
0.99723947,0.00108618,0.000835868,0.000838516,Movie_Lupin
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Peter Pettigrew
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Pettigrew
0.003072605,0.00030022,0.000299716,0.99632746,Movie_Slytherin Students
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Lord Voldemort
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Wormtail
0.998790801,0.000540563,0.000405605,0.000263032,Movie_James Potter
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Lily Potter
0.99865973,0.00059916,0.000449573,0.000291544,Movie_Fred/George
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Barty Crouch Jr.
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Igor Karkaroff
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Karkaroff
0.003946742,0.00023322,0.000299473,0.995520592,"Movie_Barty Crouch, Sr."
0.00055376,0.000327369,0.000354797,0.998764038,Movie_Rita Skeeter
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Goyle
0.997784674,0.000844925,0.000836325,0.000534097,Movie_Mcgonnagall
0.998790801,0.000540563,0.000405605,0.000263032,Movie_George/Fred
0.997784674,0.000844925,0.000836325,0.000534097,Movie_Dean
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Neville[Horrified]
0.998409867,0.000682734,0.00044946,0.000457851,Movie_Fleur Delacour
0.043365188,0.006597907,0.005086157,0.9449507,Movie_Alastor Moody
0.016708983,0.978842318,0.002108503,0.002340206,Movie_Cedric Diggory
0.000611465,0.998170018,0.000533755,0.00068474,Movie_Amos Diggory
0.853309572,0.000912262,0.00096461,0.144813597,Movie_Harry And Hermione
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Sybill Trelawney
0.000611465,0.998170018,0.000533755,0.00068474,Movie_Kingsley Shacklebolt
0.000611465,0.998170018,0.000533755,0.00068474,Movie_Kingsley
0.002303589,0.996438742,0.000769369,0.000488321,Movie_Tonks
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Molly
0.000611465,0.998170018,0.000533755,0.00068474,Movie_Umbridge
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Luna
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Fred And George
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Trelawney
0.002303589,0.996438742,0.000769369,0.000488321,Movie_Zacharias
0.005910791,0.000843568,0.991783381,0.001462226,Movie_Cho
0.996248662,0.00106899,0.001106746,0.001575636,Movie_Everard
0.554236174,0.003270497,0.007503736,0.434989601,Movie_Harry (In Memory)
0.998112917,0.000751298,0.000688996,0.000446808,"Movie_James ""Prongs"" Potter"
0.885371506,0.025200499,0.025465561,0.06396246,"Movie_Sirius ""Padfoot"" Black Iii"
0.056121156,0.00189702,0.004352469,0.937629342,Movie_Bellatrix Lestrange
0.000699911,0.000396397,0.000418428,0.998485267,Movie_Horace Slughorn
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Luna Lovegood
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Katie Bell
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Slughorn
0.001409572,0.000442478,0.000398991,0.997748911,Movie_Tom Riddle - Age 11
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Lavender
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Mclaggen
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Tom Riddle - Age 16
0.000714497,0.000356517,0.000418438,0.99851054,Movie_Bellatrix
0.01423561,0.00320386,0.003447192,0.979113281,Movie_Greyback
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Rufus Scrimgeour
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Xenophilius Lovegood
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Fred And George Weasley
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Yaxley
0.980739713,0.00118814,0.002080779,0.015991321,Movie_Pius
0.000744952,0.998196185,0.000588484,0.000470355,Movie_Shacklebolt
0.998112917,0.000751298,0.000688996,0.000446808,Movie_Ron M
0.998051763,0.000648726,0.000537186,0.000762304,Movie_Molly Weasley
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Aberforth Dumbledore
0.001041974,0.000381529,0.000399162,0.99817729,Movie_Pansy Parkinson
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Filius Flitwick
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Remus Lupin
0.982295811,0.000871164,0.001457109,0.015375856,Movie_George Weasley
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Fred Weasley
0.000403728,0.00047014,0.998176098,0.000950013,Movie_Helena Ravenclaw
0.133879572,0.010761446,0.015004873,0.840354085,Movie_Gregory Goyle
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Sirius Black
0.006112046,0.000758469,0.000499359,0.992630124,Movie_Narcissa Malfoy
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Bem
0.99865973,0.00059916,0.000449573,0.000291544,Movie_Black
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Fred & George
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Hermlone
0.998565495,0.000615979,0.000405514,0.000413084,Movie_Lupln
0.99723947,0.00108618,0.000835868,0.000838516,Movie_Mr. Weasley
0.869417727,0.023192691,0.030916851,0.076472796,Movie_Pettlgrew
0.000296203,0.000310218,0.998737991,0.000655616,Movie_Scrimgeour
0.006098553,0.980952322,0.002680529,0.010268528,Movie_Burbage
0.996248662,0.00106899,0.001106746,0.001575636,Movie_Mundungus
0.000547415,0.000268897,0.000350733,0.998833001,Movie_Death Eater 3
0.058623236,0.004660095,0.93349427,0.00322238,Movie_Xenophilius
0.006677506,0.000377939,0.000418935,0.992525578,Movie_Dolohov
0.000957873,0.000329176,0.000418348,0.998294652,Movie_Scabior
0.998790801,0.000540563,0.000405605,0.000263032,Movie_Hermione & Harry
0.051674277,0.002981852,0.005781935,0.939561903,Movie_Death Eater 1
0.003072605,0.00030022,0.000299716,0.99632746,Movie_Death Eater 2
0.132369548,0.002182241,0.004929115,0.860519111,Movie_Riddle
0.99723947,0.00108618,0.000835868,0.000838516,Movie_Ron & Hermione
0.000296203,0.000310218,0.998737991,0.000655616,Book_Anthony
0.998790801,0.000540563,0.000405605,0.000263032,Book_Molly
0.001041974,0.000381529,0.000399162,0.99817729,Book_Avery
0.996248662,0.00106899,0.001106746,0.001575636,Book_Bell
0.001409572,0.000442478,0.000398991,0.997748911,Book_Bella
0.000611465,0.998170018,0.000533755,0.00068474,Book_Dolores
0.998790801,0.000540563,0.000405605,0.000263032,Book_Hagrid
0.963889956,0.000933441,0.001952053,0.033224516,Book_Dung
0.005210927,0.000341957,0.000419569,0.994027495,Book_Goyle
0.982295811,0.000871164,0.001457109,0.015375856,Book_Granger
0.982295811,0.000871164,0.001457109,0.015375856,Book_Granger
0.99684298,0.000950788,0.000912022,0.001294223,Book_Arthur
0.001286566,0.997018456,0.000892884,0.000802085,Book_King
0.998790801,0.000540563,0.000405605,0.000263032,Book_Kirke
0.998565495,0.000615979,0.000405514,0.000413084,Book_Marietta
0.985653162,0.00632568,0.004746398,0.003274777,Book_Merlin
0.00279226,0.993347347,0.001749355,0.002110963,Book_Minerva
0.991625369,0.001133974,0.000735778,0.006504897,Book_Nymphadora
0.956026673,0.000797466,0.040685762,0.002490091,Book_Parkinson
0.956026673,0.000797466,0.040685762,0.002490091,Book_Parkinson
0.018669365,0.435425818,0.150941953,0.394962907,Book_Professor
0.018669365,0.435425818,0.150941953,0.394962907,Book_Professor
0.153648585,0.171628252,0.488543749,0.186179444,Book_Professor
0.153648585,0.171628252,0.488543749,0.186179444,Book_Professor
0.963300228,0.003605922,0.002750883,0.030342951,Book_Remus
0.470525473,0.006589017,0.009254415,0.513631105,Book_Rookwood
0.470525473,0.006589017,0.009254415,0.513631105,Book_Rookwood
0.960470796,0.003705244,0.003775156,0.032048807,Book_Snivelus
0.99684298,0.000950788,0.000912022,0.001294223,Book_Son
0.993847191,0.000952227,0.001158025,0.004042513,Book_Song
0.000611465,0.998170018,0.000533755,0.00068474,Book_Summer
0.000611465,0.998170018,0.000533755,0.00068474,Book_Susan
0.001829657,0.996776164,0.000675249,0.000718932,Book_Tiny
0.00096537,0.000358933,0.000399202,0.998276472,Book_Warrington
0.99574089050293,0.00118477421347052,0.000787830620538443,0.00228649168275297,"Walmart"
0.999579846858978,0.000308880407828838,3.47111199516803e-05,7.66188022680581e-05,"uiowa"
0.719179272651672,0.279956519603729,0.000527598604094237,0.000336547032929957,"IowaStateU"
0.999868273735046,2.65603030129569e-05,2.43636222876376e-05,8.08088661869988e-05,"HawkeyeFootball"
0.998110055923462,0.000353722687577829,0.000972028123214841,0.000564211630262434,"stoolpresidente"
0.999896883964539,2.76364698947873e-05,2.62834546447266e-05,4.91457030875608e-05,"bonappetit"
0.761374235153198,0.23694609105587,0.000983616453595459,0.000696076720487326,"pewresearch"
0.9997518658638,6.03097359999083e-05,4.81506613141391e-05,0.0001396660663886,"AP"
0.634313523769379,0.0147610874846578,0.0140384128317237,0.336887001991272,"jk_rowling"
0.999936699867249,2.03952713491162e-05,2.6707717552199e-05,1.61713269335451e-05,"EmmaWatson"
0.999650716781616,7.20775715308264e-05,0.000166692916536704,0.000110450921056326,"TomFelton"
0.980947315692902,0.000812958169262856,0.000702403543982655,0.0175372958183289,"wizardingworld"
0.999885678291321,3.81953759642784e-05,3.30011644109618e-05,4.31635962740984e-05,"EdwardTufte"
0.994374394416809,0.00178056361619383,0.00112467643339187,0.00272041326388717,"fchollet"
0.985385537147522,0.00148481177166104,0.0111762890592217,0.00195333198644221,"BoJackHorseman"
0.999884366989136,3.86137289751787e-05,3.33626303472556e-05,4.36363225162495e-05,"elonmusk"
0.999437391757965,0.000265569746261463,0.000202093942789361,9.48860688367859e-05,"samsanders"
0.999849557876587,3.69108420272823e-05,3.38581485266332e-05,7.96848471509293e-05,"PhillyD"
0.995655536651611,0.000589740113355219,0.00210200436413288,0.00165270559955388,"theneedledrop"
0.995854616165161,0.000619537429884076,0.00220821052789688,0.00131768151186407,"Casey"
0.998714447021484,0.000355302152456716,0.000488621997646987,0.000441699783550575,"birbigs"
0.48531773686409,0.513260304927826,0.000923092069569975,0.000498870853334665,"DaviSusan"
